"region","species_name","species_pooled","cuid","cu_name_pse","psf_status"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",947,"Cecilia","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",948,"Cheewat","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",949,"Clayoquot","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",950,"Deserted","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",951,"Fairy","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",927,"Fulmore","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",952,"Great Central","fair"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",953,"Henderson","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",954,"Hesquiat","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",928,"Heydon","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",955,"Hobiton","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",937,"Ida-Bonanza","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",956,"Jansen","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",929,"Kakweiken","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",957,"Kanim","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",958,"Kennedy","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",930,"Loose","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",931,"Mackenzie","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",959,"Maggie","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",960,"Megin","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",961,"Muchalat","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",962,"Muriel","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",938,"Nahwitti","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",939,"Nimpkish","fair"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",963,"Nitinat","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",964,"O'Connell","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",966,"Park River","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",932,"Phillips","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",967,"Power","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",941,"Quatse","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",933,"Sakinaw","data-deficient"
