"region","species","year","spawners","smoothedSpawners","expansion_factor1","expansion_factor2"
"Skeena","Coho",1957,114165.487951865,128062.892617667,1.61274560759729,1.50296221475491
"Skeena","Coho",1958,225251.373265204,151598.310444709,1.65466866396661,1.50296221475491
"Skeena","Coho",1959,99710.1729964507,148985.177526086,7.9930644543536,1.50296221475491
"Skeena","Coho",1960,167177.768080061,143889.819996737,2.418090934296,1.50296221475491
"Skeena","Coho",1961,97567.1764458002,138347.811725986,1.92488024859452,1.50296221475491
"Skeena","Coho",1962,59623.1512078053,99233.6952349933,1.54811418242076,1.50296221475491
"Skeena","Coho",1963,155558.637963877,110904.158095658,2.43246446845048,1.50296221475491
"Skeena","Coho",1964,97714.8769801188,96971.3342068104,1.30683134344394,1.50296221475491
"Skeena","Coho",1965,222593.400431155,119177.839413307,1.53038620283946,1.50296221475491
"Skeena","Coho",1966,120934.271861203,142226.042211251,1.10908265904357,1.50296221475491
"Skeena","Coho",1967,63058.8198736812,113485.938006114,1.07787687660311,1.50296221475491
"Skeena","Coho",1968,127800.210249359,121362.571873695,1.03919606118282,1.50296221475491
"Skeena","Coho",1969,68836.8591189477,90502.7887687677,1.03739052228622,1.50296221475491
"Skeena","Coho",1970,90219.3248116829,84110.3628393647,1.04486811664782,1.50296221475491
"Skeena","Coho",1971,78058.0284837469,88719.1640967672,1.09339203561766,1.50296221475491
"Skeena","Coho",1972,53868.2287866575,71485.4611598026,1.09119444161276,1.50296221475491
"Skeena","Coho",1973,40255.1999183194,62512.6570468154,1.32757902467854,1.50296221475491
"Skeena","Coho",1974,35794.2949093133,49613.1176298073,1.33984987535832,1.50296221475491
"Skeena","Coho",1975,17078.6068712226,33931.669976901,1.28224978135251,1.50296221475491
"Skeena","Coho",1976,34187.7418011197,30285.8428281792,1.30917450656778,1.50296221475491
"Skeena","Coho",1977,32536.7012456784,28716.2382011544,1.28782764572483,1.50296221475491
"Skeena","Coho",1978,41135.0260236713,29732.1995036191,1.33724050992287,1.50296221475491
"Skeena","Coho",1979,18415.8562211954,30297.8566698064,1.3304060865108,1.50296221475491
"Skeena","Coho",1980,38920.8814074964,31296.0818979931,1.33622881167574,1.50296221475491
"Skeena","Coho",1981,32114.6115833403,31194.0854966662,1.29657428513667,1.50296221475491
"Skeena","Coho",1982,23732.2022779912,27186.5328276953,1.09738587632547,1.50296221475491
"Skeena","Coho",1983,27873.8078939477,30154.693677225,1.37214515704959,1.50296221475491
"Skeena","Coho",1984,51171.2477097219,32289.8298132181,1.05408448698632,1.50296221475491
"Skeena","Coho",1985,22011.9055175592,29380.1830713542,1.23801193939056,1.50296221475491
"Skeena","Coho",1986,57112.2826648353,36593.3666279819,1.1797520244014,1.50296221475491
"Skeena","Coho",1987,54273.6349570304,43226.5443831855,1.72929368489658,1.50296221475491
"Skeena","Coho",1988,13379.0915230492,30910.1187179266,1.37692420061234,1.50296221475491
"Skeena","Coho",1989,52756.7536090556,38459.6899630731,1.27968828271384,1.50296221475491
"Skeena","Coho",1990,87608.9527375011,42801.6510039247,1.07142459585622,1.50296221475491
"Skeena","Coho",1991,58744.9525646201,43657.2055536804,1.14003541103141,1.50296221475491
"Skeena","Coho",1992,53063.2305291442,61609.5021058609,1.31688790927711,1.50296221475491
"Skeena","Coho",1993,28338.9964390159,52744.1502506559,1.18991722877605,1.50296221475491
"Skeena","Coho",1994,66068.1934021969,49151.3313025556,1.58580996714237,1.50296221475491
"Skeena","Coho",1995,25392.9382737426,39853.9053833561,1.43484166361148,1.50296221475491
"Skeena","Coho",1996,21715.2115629068,31875.9751789595,1.35346839464073,1.50296221475491
"Skeena","Coho",1997,11673.4836285732,25536.8592587354,1.41992396753976,1.50296221475491
"Skeena","Coho",1998,52535.9517247575,24114.7923249441,1.20239890131732,1.50296221475491
"Skeena","Coho",1999,78878.3649329442,32014.3553964282,1.17791347280694,1.50296221475491
"Skeena","Coho",2000,38556.9343633049,36955.5244260143,1.15636516627977,1.50296221475491
"Skeena","Coho",2001,102346.366014698,63591.2492373842,1.62099629056637,1.50296221475491
"Skeena","Coho",2002,57621.4190496186,65077.250082793,1.28334230385063,1.50296221475491
"Skeena","Coho",2003,79506.2624231808,65206.374297543,1.53265849876597,1.50296221475491
"Skeena","Coho",2004,64139.238319089,74053.4639606544,1.93925369330453,1.50296221475491
"Skeena","Coho",2005,141043.974078248,80235.3784535393,2.05586329909151,1.50296221475491
"Skeena","Coho",2006,75019.3737445594,85706.4045808663,1.75649591762738,1.50296221475491
"Skeena","Coho",2007,64519.7489447492,81345.9825846593,2.44230474797905,1.50296221475491
"Skeena","Coho",2008,38514.4207677174,71607.910701883,1.7198439380798,1.50296221475491
"Skeena","Coho",2009,150391.273301351,72765.9204933454,1.57470796599248,1.50296221475491
"Skeena","Coho",2010,78953.7648875107,73701.7635703897,1.68323568028101,1.50296221475491
"Skeena","Coho",2011,47589.3027511586,68301.7841428057,1.91113424088445,1.50296221475491
"Skeena","Coho",2012,52669.4747411386,73861.1308069669,1.70446392813895,1.50296221475491
"Skeena","Coho",2013,146911.102211928,73430.0709032007,2.41013146152719,1.50296221475491
"Skeena","Coho",2014,100884.523543134,78070.4842816678,1.78663274696419,1.50296221475491
"Skeena","Coho",2015,52585.8771074398,80043.6378616953,3.17698687455177,1.50296221475491
"Skeena","Coho",2016,91185.9302560687,91816.1397960403,2.61118170279842,1.50296221475491
"Skeena","Coho",2017,93715.8739215004,82055.6831382482,2.31129482421708,1.50296221475491
"Skeena","Coho",2018,38662.4475182618,64561.6861858301,3.21672685741258,1.50296221475491
"Skeena","Coho",2019,43687.8501296421,61637.8884330465,4.14544067073328,1.50296221475491
